CODE,en_US,zh_Hans,zh_TW,es_ES,hu_HU,de_DE,fr_FR,nl_NL,pt_BR,ja_JP,pt_PT,it_IT,ru_RU,pl_PL,sv_SE,ko_KR
_L_ON,ON,开,開,SI,BE,AN,ACTIVÉ,AAN,LIGADO,オン,SIM,SI,Включено,WŁ,PÅ,켜짐
_L_OFF,OFF,关,關,NO,KI,AUS,DÉSACTIVÉ,UIT,DESLIGADO,オフ,NÃO,NO,Выключено,WYŁ,AV,꺼짐
_L_ON_F,[ON],[开],[開],[SI],[BE],[AN],[ACTIVÉ],[AAN],[LIGADO],[オン],[SIM],[SI],[Вкл],[WŁ],[PÅ],[켜짐]
_L_OFF_F,[OFF],[关],[關],[NO],[KI],[AUS],[DÉSACTIVÉ],[UIT],[DESLIGADO],[オフ],[NÃO],[NO],[Выкл],[WYŁ],[AV],[꺼짐]
_L_BACK,Back,返回,返回,[Atrás],Vissza,Zurück,Retour,Terug,Voltar,戻る,Voltar,Indietro,[Назад],Wróć,Tillbaka,뒤로
_L_ERR,Error,错误,錯誤,Error,Hiba,Fehler,Erreur,Fout,Erro,エラー,Erro,Errore,Ошибка,Błąd,Fel,오류
_L_ERR_CODE,Error Code,错误码,錯誤碼,Código error,Hibakód,Fehlercode,Code d'Erreur,Foutcode,Código de Erro,エラーコード,Código de erro,Codice Errore,Код ошибки,Kod błędu,Felkod,오류 코드
_L_FAILED,Failed,失败,失敗,Fallido,Sikertelen,Fehlgeschlagen,Échoué,Mislukt,Falhou,失敗,Falhou,Fallito,Неудачно,Niepowodzenie,Misslyckades,실패
_L_BYTES,Bytes,字节,字節,Bytes,Bájt,Bytes,Octets,Bytes,Bytes,バイト,Bytes,Byte,Байт,Bajtów,Byte,바이트
_L_APP_AMIIBO,Amiibo Emulator,Amiibo模拟,Amiibo模擬,Emulador Amiibo,Amiibo emulátor,Amiibo Emulator,Émulateur Amiibo,Amiibo Emulator,Emulador Amiibo,Amiibo エミュ,Emulador Amiibo,Emulatore Amiibo,Эмулятор Amiibo,Amiibo Emulator,Amiibo Emulator,Amiibo 에뮬레이터
_L_APP_AMIIBOLINK,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink
_L_APP_BLE,BLE File Transfer,蓝牙传文件,藍牙傳文件,Transferencia Archivos BLE,BLE fájlátvitel,BLE Dateiübertragung,Transfert de Fichiers BLE,BLE Bestandsoverdracht,Transf. Arq. BLE,BLE ファイル転送,Transf. Fich. BLE,Trasferimento file BLE,Передача файлов по BLE,Transfer plików BLE,BLE-filöverföring,BLE 파일 전송
_L_APP_BLE_TITLE,BLE File Transfer,蓝牙文件传输,藍牙文件傳輸,Transferencia Archivos BLE,BLE fájlátvitel,BLE Dateiübertragung,Transfert de Fichiers BLE,BLE Bestandsoverdracht,Transf. Arq. BLE,BLE ファイル転送,Transf. Fich. BLE,Trasferimento file BLE,Передача файлов по BLE,Transfer plików BLE,BLE-filöverföring,BLE 파일 전송
_L_APP_PLAYER,Video Player,视频播放,視頻播放,Reproductor de Video,Videólejátszó,Videoplayer,Lecteur Vidéo,Videospeler,Reprodutor de Vídeo,ビデオプレーヤー,Reprodutor de vídeo,Lettore video,Видеопроигрыватель,Odtwarzacz wideo,Videospelare,비디오 플레이어
_L_APP_SET,Settings,系统设置,系統設置,Ajustes,Beállítások,Einstellungen,Paramètres,Instellingen,Configurações,設定,Definições,Impostazioni,Настройки,Ustawienia,Inställningar,설정
_L_APP_SET_VERSION,Version,版本信息,版本信息,Versión,Verzió,Version,Version,Versie,Versão,バージョン,Versão,Versione,Версия,Wersja,Version,버전
_L_APP_SET_STORAGE_USED,Used,已用,已用,Usado,Használt,Verwendet,Utilisé,Gebruikt,Usado,使用済み,Usado,Usato,Использовано,Użyte,Använt,사용됨
_L_APP_SET_STORAGE,External Storage,外部存储,外部存儲,Almacenamiento Externo,Külső tárhely,Externer Speicher,Stockage Externe,Externe Opslag,Armazenamento Externo,外部ストレージ,Armazenamento Externo,Archiviazione esterna,Внешнее хранилище,Pamięć zewnętrzna,Externt lagringsutrymme,외부 저장소
_L_APP_SET_OLED_CONTRAST,Contrast,对比度,對比度,Contraste,Kontraszt,Kontrast,Contraste,Contrast,Contraste,コントラスト,Contraste,Contrasto,Контрастность,Kontrast,Kontrast,대비
_L_APP_SET_OLED_CONTRAST_TITLE,Contrast,显示对比度,顯示對比度,Contraste,Kontraszt,Kontrast,Contraste,Contrast,Contraste,コントラスト,Contraste,Contrasto,Контрастность,Kontrast,Kontrast,대비
_L_APP_SET_LCD_BACKLIGHT,Backlight,背光亮度,背光亮度,Luz de fondo,Háttérvilágítás,Hintergrundbeleuchtung,Rétroéclairage,Achtergrondverlichting,Luz de Fundo,バックライト,Luz de fundo,Retroilluminazione,Подсветка,Podświetlenie,Bakgrundsbelysning,백라이트
